Date	Item	Store	Units Sold	Unit Price	Sales Amount
43019	Xbox One S	San Diego	2	299	598
43691	Surface Studio	San Diego	5	2999	14995
43092	Surface Pro 4	Seattle	3	899	2697
43789	Surface Book	San Francisco	3	1499	4497
43826	Xbox One S	Phoenix	3	299	897
43037	Surface Book	San Francisco	5	1499	7495
43266	Surface Studio	San Francisco	1	2999	2999
43260	Surface Studio	Seattle	2	2999	5998
43433	Surface Pro 4	San Diego	1	899	899
42795	Surface Studio	Los Angeles	1	2999	2999
43604	Xbox One S	San Francisco	2	299	598
42896	Surface Studio	Seattle	1	2999	2999
42909	Xbox One	San Francisco	5	249	1245
43774	Surface Book	San Francisco	3	1499	4497
42985	Surface Pro 4	Los Angeles	4	899	3596
43696	Xbox One S	San Francisco	3	299	897
42939	Surface Pro 4	San Diego	2	899	1798
43729	Xbox One S	Los Angeles	1	299	299
43046	Xbox One	Seattle	1	249	249
43009	Surface Book	Phoenix	4	1499	5996
42834	Xbox One	San Diego	3	249	747
43181	Xbox One S	San Diego	4	299	1196
43136	Surface Pro 4	Phoenix	2	899	1798
43744	Surface Studio	San Francisco	4	2999	11996
43257	Surface Studio	Seattle	1	2999	2999
42956	Xbox One	Los Angeles	2	249	498
43524	Surface Book	Los Angeles	2	1499	2998
43804	Surface Pro 4	San Diego	4	899	3596
43321	Xbox One	Phoenix	4	249	996
43694	Xbox One	Los Angeles	3	249	747
43063	Xbox One	Los Angeles	4	249	996
43323	Surface Book	San Diego	1	1499	1499
42846	Xbox One	Los Angeles	3	249	747
42926	Surface Studio	Phoenix	2	2999	5998
43258	Xbox One	San Diego	1	249	249
43793	Surface Book	Seattle	1	1499	1499
43439	Surface Pro 4	Seattle	2	899	1798
43103	Xbox One S	San Diego	2	299	598
43229	Surface Studio	Los Angeles	3	2999	8997
43089	Surface Book	Seattle	2	1499	2998
43165	Xbox One S	San Francisco	4	299	1196
43755	Xbox One S	San Francisco	4	299	1196
43712	Surface Studio	Seattle	1	2999	2999
42931	Xbox One S	Phoenix	4	299	1196
43555	Xbox One S	San Diego	4	299	1196
43369	Surface Pro 4	Los Angeles	1	899	899
43232	Xbox One	San Diego	2	249	498
43505	Xbox One	Los Angeles	1	249	249
42745	Surface Studio	San Francisco	4	2999	11996
42828	Xbox One S	Phoenix	3	299	897
43665	Surface Studio	Phoenix	4	2999	11996
42831	Xbox One S	Seattle	2	299	598
42931	Surface Studio	Phoenix	2	2999	5998
43654	Xbox One	Seattle	5	249	1245
43370	Xbox One	San Francisco	3	249	747
43148	Xbox One	San Francisco	2	249	498
43801	Surface Studio	San Francisco	2	2999	5998
42928	Xbox One S	San Diego	2	299	598
43406	Surface Studio	Seattle	5	2999	14995
43503	Surface Studio	Phoenix	2	2999	5998
43615	Xbox One	Phoenix	4	249	996
43080	Surface Studio	Los Angeles	2	2999	5998
42825	Xbox One S	San Diego	5	299	1495
42823	Xbox One S	Seattle	5	299	1495
42760	Surface Studio	Phoenix	4	2999	11996
42852	Surface Pro 4	San Francisco	4	899	3596
42841	Xbox One	San Francisco	3	249	747
42857	Surface Pro 4	San Diego	5	899	4495
43802	Surface Book	Phoenix	5	1499	7495
43699	Xbox One S	San Francisco	1	299	299
43310	Xbox One	Los Angeles	2	249	498
43168	Surface Studio	Phoenix	3	2999	8997
43153	Xbox One	Seattle	1	249	249
43491	Surface Book	Los Angeles	3	1499	4497
43029	Surface Pro 4	Phoenix	3	899	2697
43443	Surface Pro 4	San Francisco	4	899	3596
42829	Xbox One S	San Francisco	1	299	299
43742	Surface Pro 4	Seattle	4	899	3596
43238	Surface Book	Phoenix	1	1499	1499
43363	Surface Pro 4	Los Angeles	5	899	4495
43293	Surface Book	Seattle	5	1499	7495
42943	Surface Studio	Phoenix	3	2999	8997
43152	Surface Pro 4	Seattle	5	899	4495
42780	Surface Book	Phoenix	2	1499	2998
43263	Surface Studio	Seattle	4	2999	11996
42799	Surface Studio	San Francisco	4	2999	11996
43763	Surface Studio	Seattle	2	2999	5998
43167	Surface Pro 4	Phoenix	1	899	899
43336	Surface Studio	San Diego	5	2999	14995
43342	Surface Studio	San Francisco	3	2999	8997
43491	Surface Pro 4	Seattle	3	899	2697
43128	Surface Pro 4	Phoenix	1	899	899
43223	Surface Studio	San Diego	2	2999	5998
43562	Xbox One S	San Francisco	4	299	1196
43756	Xbox One S	Los Angeles	1	299	299
43388	Surface Book	Los Angeles	3	1499	4497
43221	Surface Pro 4	Los Angeles	3	899	2697
43713	Xbox One	San Francisco	2	249	498
43059	Surface Book	San Francisco	5	1499	7495
43469	Surface Book	Phoenix	4	1499	5996
42952	Surface Book	Los Angeles	2	1499	2998
43095	Surface Pro 4	San Francisco	3	899	2697
43549	Xbox One	Los Angeles	4	249	996
43621	Xbox One	Phoenix	3	249	747
43543	Surface Book	San Francisco	1	1499	1499
43485	Surface Studio	San Diego	4	2999	11996
43327	Surface Pro 4	Phoenix	2	899	1798
42770	Xbox One S	Los Angeles	1	299	299
43745	Surface Book	San Francisco	5	1499	7495
43564	Xbox One S	San Francisco	4	299	1196
43403	Xbox One	Phoenix	5	249	1245
43467	Xbox One	Seattle	3	249	747
42920	Xbox One	San Francisco	1	249	249
42773	Surface Studio	Los Angeles	5	2999	14995
43691	Xbox One	Seattle	4	249	996
43639	Xbox One S	San Diego	1	299	299
42774	Surface Pro 4	San Diego	1	899	899
42808	Surface Pro 4	Seattle	3	899	2697
43629	Surface Studio	San Diego	5	2999	14995
43048	Surface Pro 4	Los Angeles	3	899	2697
43550	Xbox One S	Seattle	2	299	598
42894	Xbox One S	San Francisco	3	299	897
43110	Xbox One S	Seattle	4	299	1196
43478	Xbox One	Los Angeles	1	249	249
43093	Xbox One	Phoenix	3	249	747
43495	Surface Book	San Diego	4	1499	5996
42863	Xbox One S	San Diego	5	299	1495
43497	Surface Studio	Seattle	3	2999	8997
43320	Surface Studio	San Diego	5	2999	14995
43370	Surface Pro 4	Los Angeles	2	899	1798
43763	Xbox One	Phoenix	3	249	747
43570	Surface Studio	Seattle	5	2999	14995
43667	Xbox One	San Diego	5	249	1245
42828	Xbox One	San Francisco	5	249	1245
43483	Surface Book	Phoenix	2	1499	2998
43665	Surface Book	Phoenix	1	1499	1499
43670	Xbox One S	San Francisco	2	299	598
42767	Xbox One S	Los Angeles	4	299	1196
43520	Xbox One S	Seattle	5	299	1495
43502	Surface Pro 4	Phoenix	3	899	2697
43360	Surface Studio	Los Angeles	1	2999	2999
42916	Xbox One S	Los Angeles	5	299	1495
43378	Xbox One S	Seattle	3	299	897
43429	Surface Studio	San Diego	5	2999	14995
43751	Xbox One	Seattle	3	249	747
43296	Xbox One	Seattle	4	249	996
43723	Surface Pro 4	San Francisco	3	899	2697
43453	Surface Pro 4	Seattle	5	899	4495
43162	Surface Pro 4	Los Angeles	2	899	1798
43546	Surface Studio	Seattle	1	2999	2999
43797	Surface Book	San Diego	1	1499	1499
43068	Xbox One	Los Angeles	1	249	249
42917	Surface Pro 4	San Diego	1	899	899
43083	Surface Pro 4	San Francisco	1	899	899
42990	Xbox One S	Phoenix	3	299	897
43594	Surface Pro 4	San Francisco	2	899	1798
42985	Xbox One	Phoenix	5	249	1245
43786	Surface Studio	San Diego	3	2999	8997
43559	Surface Book	San Francisco	2	1499	2998
43551	Surface Studio	San Diego	3	2999	8997
43566	Xbox One S	San Diego	5	299	1495
43600	Surface Pro 4	Phoenix	5	899	4495
43010	Xbox One	San Diego	2	249	498
43030	Surface Pro 4	San Diego	5	899	4495
42959	Surface Book	Seattle	3	1499	4497
43086	Xbox One	Los Angeles	2	249	498
42997	Surface Studio	San Diego	5	2999	14995
42947	Surface Book	Seattle	3	1499	4497
43405	Surface Pro 4	Los Angeles	2	899	1798
43354	Xbox One	Phoenix	3	249	747
43235	Xbox One	Los Angeles	1	249	249
42906	Xbox One S	San Diego	4	299	1196
42802	Xbox One	Los Angeles	4	249	996
43448	Surface Pro 4	Seattle	1	899	899
43236	Surface Studio	Seattle	3	2999	8997
43118	Xbox One	Seattle	2	249	498
43310	Xbox One	San Diego	5	249	1245
43677	Surface Pro 4	Los Angeles	3	899	2697
43599	Xbox One	San Diego	4	249	996
43591	Surface Book	Phoenix	4	1499	5996
43453	Xbox One	Phoenix	2	249	498
43085	Xbox One	Phoenix	3	249	747
43458	Surface Pro 4	San Francisco	3	899	2697
43598	Surface Book	Seattle	1	1499	1499
43130	Xbox One S	Los Angeles	5	299	1495
42971	Xbox One	San Diego	3	249	747
43830	Surface Studio	Phoenix	2	2999	5998
42966	Surface Pro 4	Phoenix	3	899	2697
43577	Xbox One S	Los Angeles	5	299	1495
43329	Surface Pro 4	Seattle	4	899	3596
43582	Surface Pro 4	Los Angeles	3	899	2697
43268	Surface Studio	San Diego	1	2999	2999
43662	Xbox One	Phoenix	1	249	249
43619	Surface Pro 4	San Diego	1	899	899
42930	Xbox One S	Seattle	4	299	1196
43251	Xbox One	Phoenix	4	249	996
43809	Surface Pro 4	Seattle	4	899	3596
43631	Surface Studio	Phoenix	2	2999	5998
43420	Surface Studio	San Francisco	2	2999	5998
43315	Surface Book	San Francisco	2	1499	2998
43169	Surface Studio	San Diego	2	2999	5998
43202	Surface Book	Phoenix	1	1499	1499
43521	Surface Book	Los Angeles	4	1499	5996
42800	Xbox One S	San Francisco	4	299	1196
43519	Surface Pro 4	Seattle	4	899	3596
42774	Xbox One	Phoenix	5	249	1245
43480	Xbox One S	San Francisco	1	299	299
42753	Xbox One	Phoenix	2	249	498
43123	Surface Pro 4	Seattle	3	899	2697
43125	Surface Pro 4	San Francisco	2	899	1798
43384	Xbox One	Phoenix	4	249	996
43075	Surface Pro 4	Seattle	1	899	899
43386	Surface Pro 4	San Francisco	4	899	3596
42791	Xbox One S	Los Angeles	2	299	598
43384	Xbox One S	Seattle	4	299	1196
43555	Xbox One	Phoenix	4	249	996
43699	Surface Book	Los Angeles	5	1499	7495
43477	Surface Book	Los Angeles	1	1499	1499
43335	Surface Pro 4	San Francisco	1	899	899
43395	Xbox One	Phoenix	3	249	747
42784	Surface Pro 4	San Francisco	4	899	3596
42760	Xbox One S	Los Angeles	2	299	598
42756	Surface Studio	Seattle	1	2999	2999
43074	Surface Pro 4	San Francisco	1	899	899
42860	Surface Pro 4	Los Angeles	1	899	899
43435	Xbox One	San Diego	1	249	249
43275	Surface Studio	San Francisco	4	2999	11996
43532	Surface Book	Seattle	3	1499	4497
43339	Xbox One S	Los Angeles	5	299	1495
43395	Surface Pro 4	Phoenix	5	899	4495
42798	Surface Studio	San Francisco	3	2999	8997
43720	Surface Pro 4	San Francisco	3	899	2697
43039	Xbox One	San Diego	5	249	1245
43695	Surface Studio	Seattle	4	2999	11996
43330	Surface Studio	San Diego	4	2999	11996
43179	Xbox One	San Francisco	3	249	747
42983	Xbox One	San Francisco	4	249	996
43205	Surface Pro 4	Seattle	1	899	899
43186	Xbox One S	Phoenix	3	299	897
42975	Xbox One S	Phoenix	5	299	1495
43033	Xbox One	Los Angeles	3	249	747
43788	Surface Studio	Seattle	1	2999	2999
43372	Surface Book	San Diego	1	1499	1499
43545	Xbox One	Phoenix	2	249	498
43754	Xbox One S	San Francisco	4	299	1196
43488	Surface Pro 4	Phoenix	4	899	3596
43275	Surface Studio	San Francisco	1	2999	2999
43057	Xbox One S	San Francisco	3	299	897
42802	Xbox One S	San Francisco	2	299	598
43160	Xbox One S	San Francisco	1	299	299
43757	Xbox One	San Diego	2	249	498
43732	Surface Pro 4	Phoenix	2	899	1798
43730	Surface Book	Seattle	2	1499	2998
43312	Surface Book	Phoenix	4	1499	5996
43010	Xbox One S	Phoenix	5	299	1495
43772	Xbox One	Phoenix	3	249	747
43015	Xbox One	Phoenix	4	249	996
43520	Surface Pro 4	Seattle	4	899	3596
43735	Surface Book	Los Angeles	2	1499	2998
43608	Surface Pro 4	Phoenix	3	899	2697
43827	Xbox One S	San Francisco	5	299	1495
43447	Surface Studio	Seattle	2	2999	5998
42895	Surface Studio	Phoenix	5	2999	14995
43061	Surface Pro 4	Los Angeles	2	899	1798
42965	Xbox One S	Los Angeles	5	299	1495
42983	Surface Book	San Francisco	1	1499	1499
43419	Surface Book	San Francisco	2	1499	2998
43347	Surface Studio	Phoenix	2	2999	5998
43720	Surface Pro 4	San Francisco	4	899	3596
42833	Surface Pro 4	San Diego	3	899	2697
43244	Surface Pro 4	San Francisco	2	899	1798
43294	Surface Book	San Diego	4	1499	5996
43019	Surface Pro 4	Seattle	4	899	3596
43361	Xbox One	San Francisco	5	249	1245
43503	Surface Pro 4	San Diego	4	899	3596
43276	Surface Book	Phoenix	5	1499	7495
42795	Xbox One S	Seattle	5	299	1495
43351	Xbox One	Los Angeles	1	249	249
42797	Surface Studio	Seattle	3	2999	8997
43186	Surface Pro 4	San Diego	1	899	899
43384	Surface Pro 4	Los Angeles	4	899	3596
43774	Surface Studio	Los Angeles	4	2999	11996
43281	Surface Pro 4	San Diego	2	899	1798
43687	Xbox One	San Francisco	3	249	747
42870	Surface Pro 4	Seattle	2	899	1798
43361	Xbox One S	Phoenix	2	299	598
43797	Surface Studio	Phoenix	1	2999	2999
43598	Xbox One S	Seattle	4	299	1196
43578	Xbox One	Los Angeles	2	249	498
43743	Xbox One S	San Diego	5	299	1495
43809	Surface Book	San Francisco	5	1499	7495
43522	Surface Book	Los Angeles	5	1499	7495
43420	Surface Studio	Phoenix	5	2999	14995
43600	Xbox One	San Francisco	2	249	498
43104	Xbox One	San Diego	3	249	747
43785	Xbox One	Phoenix	4	249	996
43165	Surface Book	San Diego	3	1499	4497
43684	Surface Book	Seattle	3	1499	4497
43320	Surface Pro 4	Seattle	5	899	4495
42944	Surface Studio	Seattle	2	2999	5998
43516	Surface Pro 4	Phoenix	1	899	899
43449	Surface Book	Los Angeles	5	1499	7495
43512	Xbox One	San Diego	4	249	996
43132	Xbox One	Phoenix	2	249	498
42743	Surface Book	San Francisco	5	1499	7495
43798	Xbox One	San Diego	2	249	498
43288	Xbox One S	San Francisco	3	299	897
42981	Surface Book	San Diego	5	1499	7495
43080	Surface Studio	Phoenix	4	2999	11996
43423	Surface Studio	Los Angeles	5	2999	14995
43225	Surface Pro 4	Seattle	3	899	2697
43799	Surface Studio	San Diego	4	2999	11996
43824	Xbox One	San Francisco	2	249	498
42893	Xbox One	San Francisco	5	249	1245
43815	Surface Pro 4	Phoenix	2	899	1798
43209	Surface Pro 4	Seattle	1	899	899
43003	Surface Book	San Diego	2	1499	2998
43007	Surface Pro 4	Los Angeles	3	899	2697
42903	Surface Studio	San Francisco	1	2999	2999
43703	Surface Pro 4	Phoenix	1	899	899
43728	Xbox One S	Seattle	1	299	299
42821	Surface Pro 4	San Francisco	2	899	1798
42792	Surface Studio	Phoenix	2	2999	5998
43396	Xbox One S	Phoenix	1	299	299
43205	Xbox One S	Phoenix	3	299	897
43437	Surface Studio	Seattle	5	2999	14995
42781	Surface Pro 4	Seattle	2	899	1798
43380	Surface Studio	Phoenix	5	2999	14995
43536	Surface Book	San Diego	4	1499	5996
43364	Xbox One S	Los Angeles	2	299	598
43473	Surface Studio	San Francisco	2	2999	5998
43251	Xbox One	Los Angeles	5	249	1245
43069	Surface Pro 4	Los Angeles	2	899	1798
43364	Xbox One	Phoenix	1	249	249
43159	Surface Pro 4	Los Angeles	5	899	4495
42789	Xbox One S	San Francisco	1	299	299
43467	Xbox One S	Phoenix	5	299	1495
42907	Surface Studio	Phoenix	3	2999	8997
43278	Surface Book	Los Angeles	2	1499	2998
43008	Surface Book	Phoenix	2	1499	2998
43049	Surface Book	San Francisco	5	1499	7495
43592	Surface Studio	Los Angeles	3	2999	8997
43128	Surface Pro 4	Los Angeles	4	899	3596
43081	Xbox One	Los Angeles	5	249	1245
43120	Surface Studio	San Diego	1	2999	2999
43286	Xbox One S	San Diego	5	299	1495
43417	Surface Studio	San Francisco	4	2999	11996
42861	Xbox One S	San Francisco	1	299	299
42935	Xbox One	Phoenix	4	249	996
42996	Xbox One S	San Francisco	3	299	897
42828	Xbox One S	Seattle	4	299	1196
42797	Surface Studio	Los Angeles	4	2999	11996
43199	Surface Book	Los Angeles	5	1499	7495
43192	Surface Book	Seattle	2	1499	2998
43625	Surface Book	Phoenix	3	1499	4497
43264	Surface Studio	San Diego	3	2999	8997
43725	Xbox One S	Phoenix	2	299	598
43116	Xbox One S	Phoenix	1	299	299
43700	Surface Studio	Phoenix	5	2999	14995
43608	Xbox One	San Francisco	2	249	498
43616	Xbox One	San Diego	1	249	249
43488	Surface Studio	San Diego	1	2999	2999
43250	Surface Pro 4	Seattle	1	899	899
43219	Surface Pro 4	San Francisco	5	899	4495
42897	Xbox One	Seattle	4	249	996
43221	Xbox One S	Phoenix	3	299	897
43386	Surface Book	Los Angeles	1	1499	1499
42898	Surface Studio	San Diego	2	2999	5998
43758	Surface Pro 4	Seattle	5	899	4495
42972	Xbox One	Phoenix	3	249	747
43644	Surface Pro 4	San Francisco	2	899	1798
43618	Surface Book	San Francisco	4	1499	5996
43559	Xbox One S	Los Angeles	1	299	299
42836	Surface Book	San Diego	5	1499	7495
42961	Surface Pro 4	San Diego	3	899	2697
43642	Surface Book	San Francisco	2	1499	2998
43469	Surface Pro 4	Phoenix	4	899	3596
43735	Xbox One S	Phoenix	3	299	897
43007	Surface Book	Los Angeles	5	1499	7495
43724	Xbox One S	San Francisco	4	299	1196
43792	Xbox One S	Seattle	5	299	1495
43678	Surface Pro 4	San Diego	1	899	899
42957	Surface Book	Los Angeles	3	1499	4497
43005	Xbox One	San Diego	1	249	249
43819	Xbox One	Seattle	2	249	498
43571	Surface Studio	Seattle	3	2999	8997
43098	Surface Studio	Los Angeles	1	2999	2999
43701	Surface Studio	Phoenix	2	2999	5998
43758	Surface Pro 4	Los Angeles	1	899	899
43396	Surface Studio	San Diego	5	2999	14995
43561	Surface Book	Phoenix	5	1499	7495
43732	Surface Pro 4	San Diego	4	899	3596
43765	Surface Studio	Seattle	3	2999	8997
42857	Surface Book	Los Angeles	5	1499	7495
43606	Xbox One S	San Francisco	4	299	1196
43238	Surface Pro 4	Los Angeles	3	899	2697
43127	Xbox One S	Seattle	5	299	1495
43212	Surface Studio	San Diego	3	2999	8997
43662	Xbox One S	Phoenix	5	299	1495
43163	Surface Book	Phoenix	4	1499	5996
43140	Xbox One S	San Diego	3	299	897
43029	Surface Pro 4	Los Angeles	3	899	2697
43698	Surface Studio	Phoenix	5	2999	14995
43812	Surface Book	San Francisco	5	1499	7495
42906	Xbox One S	Los Angeles	5	299	1495
42971	Surface Studio	San Francisco	5	2999	14995
43248	Xbox One	Phoenix	5	249	1245
43160	Surface Pro 4	Los Angeles	1	899	899
43545	Xbox One	Los Angeles	4	249	996
42933	Surface Pro 4	Los Angeles	1	899	899
43096	Surface Studio	Los Angeles	4	2999	11996
42773	Xbox One S	Seattle	2	299	598
42792	Surface Pro 4	San Diego	2	899	1798
43362	Surface Book	San Francisco	4	1499	5996
43343	Xbox One S	Los Angeles	3	299	897
43401	Surface Studio	Seattle	1	2999	2999
42910	Xbox One S	San Francisco	3	299	897
43504	Xbox One	San Francisco	1	249	249
43116	Surface Pro 4	San Diego	1	899	899
42750	Xbox One	Seattle	3	249	747
43822	Surface Book	Los Angeles	3	1499	4497
43738	Xbox One	San Diego	3	249	747
43067	Surface Book	Phoenix	3	1499	4497
43197	Surface Book	Phoenix	5	1499	7495
42780	Xbox One S	San Francisco	5	299	1495
43537	Surface Book	Phoenix	5	1499	7495
43345	Xbox One S	San Diego	5	299	1495
43289	Surface Pro 4	San Diego	1	899	899
